title,director,year,country,criticScore,userScore,poster,rtUrl,imdbRating,imdbKeywords
Are You in the House Alone?,Walter Grauman,1978,United States,,22%,https://resizing.flixster.com/GdDHSJVg1_HkzSGEOzJOhb3mFUs=/206x305/v1.bTsxMTYyMzU1MDtqOzE3MzY5OzEyMDA7NDMyOzU3Ng,https://rottentomatoes.com/m/are_you_in_the_house_alone,5.8,based on novel
Alucarda,Juan L&oacute;pez Moctezuma,1978,Mexico,,61%,https://resizing.flixster.com/WsOyCCrR7KBv94oB0RTkf-jf9J0=/206x305/v1.bTsxMDg5NjExNjtqOzE3MzYxOzEyMDA7MTEwOzE1NA,https://rottentomatoes.com/m/alucarda,,
Attack of the Killer Tomatoes!,John de Bello,1978,United States,27,42%,https://resizing.flixster.com/kM647I2B0U8cYxN-dmppDlaeSXA=/206x305/v1.bTsxMTYxNDI2NDtqOzE3MzY5OzEyMDA7Nzk4OzEwNjQ,https://rottentomatoes.com/m/attack_of_the_killer_tomatoes,4.6,monster::alien
The Bermuda Triangle,"Ren&eacute; Cardona, Jr.",1978,Mexico,,,,,4.5,shark
Blue Sunshine,Jeff Lieberman,1978,United States,,,,,,
The Comeback,Pete Walker,1978,United Kingdom,,,https://staticv2-4.rottentomatoes.com/static/images/redesign/poster_default.gif,https://rottentomatoes.com/m/the_comeback_1978,,
Damien: Omen II,Don Taylor,1978,United States,41,49%,https://resizing.flixster.com/R_jGJnJ6uqCdmo88a0nwqwAepVo=/206x305/v1.bTsxMTIwOTc1NjtqOzE3MzY0OzEyMDA7MTI4NzsxNzE2,https://rottentomatoes.com/m/damien_omen_ii,6.3,possession::devil::satanism::demon::exorcism
Dawn of the Dead,George A. Romero,1978,Italy & United States,,,,,,
Death Moon,Bruce Kessler,1978,United Kingdom & United States,,,https://resizing.flixster.com/eHwOk5XKCX_gmrUo6-am1jQkh_M=/206x305/v1.bTsxMTE4NjAwMTtqOzE3MzY0OzEyMDA7MzA1OzQ5OA,https://rottentomatoes.com/m/death_moon,4.1,werewolf::monster
The Evil,Gus Trikonis,1978,United States,,26%,https://resizing.flixster.com/QVOzwrhOZ5x47N0poe-Ngi_HVX4=/206x305/v1.bTsxMjM2Mjc1MztqOzE3Mjg4OzEyMDA7MjE0OzQwMA,https://rottentomatoes.com/m/the_evil,,
The Grapes of Death,Jean Rollin,1978,France & Cameroon,,43%,https://resizing.flixster.com/y3QYmj8csuDFS2xtDnrkqRu4W8c=/206x305/v1.bTsxMjExNTU5NTtqOzE3Mjg1OzEyMDA7MTEwOzE1MA,https://rottentomatoes.com/m/the_grapes_of_death,6.2,gore::zombie
Halloween,John Carpenter,1978,United States,93,89%,https://resizing.flixster.com/y7-CRruApPIhiSthCqaMuCiMp7w=/206x305/v1.bTsxMTI5MjI2NTtqOzE3MzY1OzEyMDA7MTIwMDsxNjAw,https://rottentomatoes.com/m/1009113-halloween,,
I Spit on Your Grave,Meir Zarchi,1978,United States,55,40%,https://resizing.flixster.com/w_dbMjFTfuxSWqTZp53wfvfTDX0=/206x305/v1.bTsxMTEyMzEwMDtqOzE3MzYzOzEyMDA7MTkyNDsyOTI2,https://rottentomatoes.com/m/i_spit_on_your_grave,,
